Image	Centroid X µm	Centroid Y µm	Area µm^2
3258.czi	19362.6	7303.6	55.8635
3258.czi	23884.4	11067.9	79.8643
3258.czi	21909.4	6475.6	40.0564
3258.czi	21903.8	9658.6	59.0781
3258.czi	25176.7	2261.3	78.68
3258.czi	22622.3	8983.5	80.3114
3258.czi	20386.9	10343.3	56.6046
3258.czi	29353.4	6456.4	31.1762
3258.czi	12005.7	12779.3	74.0113
3258.czi	18759.2	6747	46.9341
3258.czi	10510.8	8845.2	61.135
3258.czi	26103.4	5040.8	50.3514
3258.czi	21213.9	10901	33.0634
3258.czi	5685.3	1298.8	88.1127
3258.czi	10561.7	12256.5	43.9085
3258.czi	8543.4	11869.7	63.7092
3258.czi	8023	11869.7	34.8264
3258.czi	14899.8	1568.1	49.4784
3258.czi	34399.9	2361.2	32.476
3258.czi	11899.4	4751.4	71.0787
3258.czi	12484.1	7658.4	62.8194
3258.czi	16803.8	9583.5	70.15
3258.czi	22596.3	9755.9	45.5468
3258.czi	10818.9	3570	47.5767
3258.czi	29506.1	2984.7	46.8899
3258.czi	5568.1	5686.2	44.6079
3258.czi	13985.6	8195.3	61.7484
3258.czi	27650.1	6897	48.196
3258.czi	26780	6591.3	70.5994
3258.czi	16375.3	11680.9	82.6133
3258.czi	11184	6795.3	47.2564
3258.czi	20665.9	11716.5	45.1267
3258.czi	21984.6	7263.5	88.7585
3258.czi	23852.8	6375.4	50.4638
3258.czi	8703.9	9423.9	66.5631
3258.czi	26324.9	7521.9	53.8518
3258.czi	20466.3	6083.5	64.9017
3258.czi	16478.4	8010	53.9276
3258.czi	20757.2	11029.9	56.544
3258.czi	7415.2	8169.8	64.6165
3258.czi	26154.8	5556.7	40.3051
3258.czi	14369.9	11841.9	42.6721
3258.czi	31147.5	1573.2	78.3684
3258.czi	8861.5	4655.8	73.8002
3258.czi	23235.3	7962	44.9946
3258.czi	25335	7832.9	48.8722
3258.czi	19878	9007.3	58.1277
3258.czi	7005.5	586.59	46.9981
3258.czi	21655	7423.1	57.9035
3258.czi	19666	11162.9	82.3636
3258.czi	8978.8	12373.6	69.6948
3258.czi	12982.2	914.86	42.8875
3258.czi	29727.8	2762.4	51.1173
3258.czi	26752.8	8465.8	188.7762
3258.czi	20175.4	8810.1	40.4591
3258.czi	20577.2	10584.4	67.7756
3258.czi	13464.4	12520.1	43.8323
3258.czi	27083.7	3144.3	43.0399
3258.czi	4642.3	6967.7	50.4086
3258.czi	11708.2	6005.5	39.9681
3258.czi	19078.8	10800.9	62.7076
3258.czi	12218.8	12464.5	76.4939
3258.czi	13524.1	12429.1	52.9521
3258.czi	28757.3	8060.3	65.6742
3258.czi	31963.1	516.54	43.4274
3258.czi	18175	9620.1	45.4617
3258.czi	15820	11644.7	33.5995
3258.czi	16389.3	9959.1	40.824
3258.czi	5049.6	4271.9	39.8916
3258.czi	26650.6	8390.3	42.9946
3258.czi	17570	4737.4	33.9111
3258.czi	31844.8	3213.4	42.9277
3258.czi	27041.8	5814.8	99.8396
3258.czi	26753.5	9287.8	83.5996
3258.czi	14900.5	10639.3	100.0677
3258.czi	6844.8	8627.5	65.9166
3258.czi	26794.3	9509.5	38.9911
